OrderID,OrderTime,CustomerID,MenuItem,Category,Quantity,Price,TotalAmount,PaymentMethod
1,2023-04-25 12:47:00,Cust_18,Paneer Butter Masala,Main Course,1,112.51,112.51,Credit Card
2,2023-01-16 11:13:00,Cust_28,Margherita Pizza,Main Course,5,143.47,717.35,Cash
3,2023-11-29 21:34:00,Cust_36,Grilled Chicken,Main Course,5,401.01,2005.05,Credit Card
4,2023-03-23 21:27:00,Cust_18,French Fries,Starter,2,324.6,649.2,Cash
5,2023-02-22 11:24:00,Cust_49,Cheeseburger,Main Course,3,177.74,533.22,UPI
6,2023-01-23 21:29:00,Cust_39,Margherita Pizza,Main Course,3,523.75,1571.25,UPI
7,2023-10-10 14:53:00,Cust_25,Mushroom Risotto,Main Course,1,586.56,586.56,Cash
8,2023-12-27 11:02:00,Cust_24,Paneer Butter Masala,Main Course,5,542.73,2713.65,Credit Card
9,2023-02-21 16:17:00,Cust_6,Paneer Butter Masala,Main Course,2,486.53,973.06,Credit Card
10,2023-12-10 14:44:00,Cust_23,Tomato Soup,Starter,3,181.33,543.99,Credit Card
11,2023-03-25 17:24:00,Cust_11,Ice Cream Sundae,Dessert,1,404.57,404.57,Credit Card
12,2023-04-28 10:51:00,Cust_21,Veggie Burger,Main Course,5,209.81,1049.05,Cash
13,2023-04-19 20:31:00,Cust_14,Cheeseburger,Main Course,4,233.87,935.48,UPI
14,2023-10-15 18:16:00,Cust_9,French Fries,Starter,4,171.44,685.76,Credit Card
15,2023-07-05 13:08:00,Cust_38,Biryani,Main Course,5,314.22,1571.1,Wallet
16,2023-03-20 20:10:00,Cust_4,Mushroom Risotto,Main Course,4,145.45,581.8,Cash
17,2023-11-02 17:33:00,Cust_25,Fish Curry,Main Course,4,398.2,1592.8,Wallet
18,2023-12-16 18:48:00,Cust_1,Veggie Burger,Main Course,5,530.39,2651.95,Cash
19,2023-08-21 10:46:00,Cust_28,Veggie Burger,Main Course,3,155.78,467.34,Credit Card
20,2023-09-17 11:55:00,Cust_49,Ice Cream Sundae,Dessert,3,585.94,1757.82,Credit Card
21,2023-03-20 15:48:00,Cust_33,Paneer Butter Masala,Main Course,3,520.83,1562.49,Credit Card
22,2023-11-03 15:31:00,Cust_34,Caesar Salad,Starter,5,576.75,2883.75,Cash
23,2023-01-30 13:56:00,Cust_20,Pasta Alfredo,Main Course,1,564.55,564.55,Credit Card
24,2023-09-30 22:08:00,Cust_32,Tandoori Chicken,Main Course,1,142.83,142.83,Cash
25,2023-09-28 19:27:00,Cust_11,Caesar Salad,Starter,4,573.42,2293.68,UPI
26,2024-01-01 14:25:00,Cust_45,Grilled Chicken,Main Course,5,477.63,2388.15,Credit Card
27,2023-03-03 13:14:00,Cust_34,Paneer Butter Masala,Main Course,3,319.05,957.15,Wallet
28,2023-10-29 13:00:00,Cust_36,Margherita Pizza,Main Course,3,110.52,331.56,Credit Card
29,2023-02-06 18:15:00,Cust_3,Margherita Pizza,Main Course,1,214.47,214.47,UPI
30,2023-05-05 22:30:00,Cust_9,Veggie Burger,Main Course,4,207.12,828.48,Wallet
31,2023-07-01 16:26:00,Cust_7,Fish Curry,Main Course,4,195.2,780.8,Wallet
32,2023-02-01 16:46:00,Cust_42,Tomato Soup,Starter,1,436.68,436.68,Cash
33,2023-03-13 16:11:00,Cust_13,Cheeseburger,Main Course,1,224.33,224.33,Wallet
34,2023-10-09 11:03:00,Cust_5,Veggie Burger,Main Course,4,224.9,899.6,Wallet
35,2023-03-27 16:31:00,Cust_6,Paneer Butter Masala,Main Course,5,518.01,2590.05,Credit Card
